_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
80,ARH0025,"1303, 1313 and 1325 Queen Street West and 220 Cowan Avenue (Parkdale Hub)",1325 Queen St W,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,77,146,9,"{""type"": ""Point"", ""coordinates"": [-79.43265066, 43.64115089]}"
81,ARH0058,"1-70 Eglinton Square, 1431 and 1437 Victoria Park Avenue, 14, 18, 19, 22, 23 and 26 Engelhart Crescent and 64 and 68 Harris Park Drive",1 Eglinton Sq,Approved OPAs and Zoning By-Law Amendments,20,Scarborough Southwest,85,0,0,"{""type"": ""Point"", ""coordinates"": [-79.30082274, 43.72300417]}"
82,ARH0093,222 Spadina Avenue,222 Spadina Ave,Occupied,10,Spadina-Fort York,0,0,84,"{""type"": ""Point"", ""coordinates"": [-79.39783776, 43.65092866]}"
83,ARH0298,1736 - 1746 Weston Road,1746 Weston Rd,Planning Applications Under Review,5,York South-Weston,84,0,0,"{""type"": ""Point"", ""coordinates"": [-79.51108433, 43.69818765]}"
84,ARH0320,3100 Weston Road,3100 Weston Road,Planning Applications Under Review,7,Humber River-Black Creek,84,0,0,"{""type"": ""Point"", ""coordinates"": [-79.53903577, 43.73344545]}"
85,ARH0059,171 Dunn Avenue/1337 and 1339 King Street West,1337 King Street West,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,82,0,0,"{""type"": ""Point"", ""coordinates"": [-79.432875, 43.638001]}"
86,ARH0019,1250 Eglinton Ave West,1250 Eglinton Ave W,Pre-Planning,8,Eglinton-Lawrence,72,160,8,"{""type"": ""Point"", ""coordinates"": [-79.4344265, 43.69907461]}"
87,ARH0112,"2550 Victoria Park Avenue and 2, 4, 6 Lansing Square (Phase 1)",2550 Victoria Park Ave,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,80,0,0,"{""type"": ""Point"", ""coordinates"": [-79.32310501, 43.77379262]}"
88,ARH0113,"2550 Victoria Park Avenue and 2, 4, 6 Lansing Square (Phase 2)",2550 Victoria Park Ave,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,80,0,0,"{""type"": ""Point"", ""coordinates"": [-79.32310501, 43.77379262]}"
89,ARH0265,15 Denison Avenue,15 Denison Ave,Pre-Planning,10,Spadina-Fort York,80,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40046556, 43.648606]}"
90,ARH0145,25 - 35 Bellevue Avenue,35 Bellevue Ave,Started Construction,11,University-Rosedale,0,0,78,"{""type"": ""Point"", ""coordinates"": [-79.40288078, 43.65376695]}"
91,ARH0015,1229 Queen Street West,1229 Queen St W,Planning Applications Under Review,4,Parkdale-High Park,76,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4293489, 43.64208904]}"
92,ARH0074,"200, 208, 218, 228 and 230 Queens Quay West and 8 York Street West",200 Queens Quay W,Started Construction,10,Spadina-Fort York,76,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38174034, 43.64048196]}"
93,ARH0098,248 Ossington Avenue,248 Ossington Ave,Pre-Planning,9,Davenport,76,0,0,"{""type"": ""Point"", ""coordinates"": [-79.42121307, 43.64978166]}"
94,ARH0317,931 Yonge Street,931 Yonge St,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,75,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38871409, 43.67562735]}"
95,ARH0128,26 - 30 Gilder Drive,30 Gilder Dr,Started Construction,21,Scarborough Centre,70,0,0,"{""type"": ""Point"", ""coordinates"": [-79.25653121, 43.73714583]}"
96,ARH0297,295-349 George St ,349 George Street,Planning Applications Under Review,13,Toronto Centre,0,0,70,"{""type"": ""Point"", ""coordinates"": [-79.37358697, 43.6588311]}"
97,ARH0163,4201 & 4203 Kingston Road,4201 Kingston Rd,Planning Applications Under Review,24,Scarborough-Guildwood,0,0,68,"{""type"": ""Point"", ""coordinates"": [-79.1961097, 43.75940725]}"
98,ARH0052,1627 & 1675 Danforth Avenue,1627 Danforth Ave,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,60,133,7,"{""type"": ""Point"", ""coordinates"": [-79.3220098, 43.68310969]}"
99,ARH0070,1966 - 2050 Eglinton Avenue East and 50 Thermos Road,1966 Eglinton Ave E,Planning Applications Under Review,21,Scarborough Centre,67,0,0,"{""type"": ""Point"", ""coordinates"": [-79.28583042, 43.72847508]}"
100,ARH0146,351 Lake Shore Boulevard East (Central and South Blocks),351 Lake Shore Blvd E,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,67,0,0,"{""type"": ""Point"", ""coordinates"": [-79.35968834, 43.64797447]}"
101,ARH0160,4040 Lawrence Avenue East,4040 Lawrence Ave E,Pre-Planning,24,Scarborough-Guildwood,60,67,7,"{""type"": ""Point"", ""coordinates"": [-79.19901183, 43.76600352]}"
102,ARH0293,90-110 Eglinton Avenue East,90 Eglinton Avenue East,Approved OPAs and Zoning By-Law Amendments,12,Toronto-St. Pauls,67,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39569639, 43.70773739]}"
103,ARH0084,2150 Lake Shore Boulevard West (Phase 1),2150 Lake Shore Blvd W,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,66,0,0,"{""type"": ""Point"", ""coordinates"": [-79.48022909, 43.62555222]}"
104,ARH0158,3933 Keele Street,3933 Keele St,Pre-Planning,6,York Centre,59,125,7,"{""type"": ""Point"", ""coordinates"": [-79.4902589, 43.76300865]}"
